,Unnamed: 0,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,price,categories,diets,url
0,0,0,Symposium Cafe Restaurant & Lounge,"307 Cundles Rd, Barrie, Ontario",44.4143803,-79.68051159999999,"307 Cundles Rd E, Barrie, Ontario L4M 0G9 Canada",R0,3.5,2.5,"['Contemporary', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d11862402-Reviews-Symposium_Cafe_Restaurant_Lounge-Barrie_Ontario.html
2,2,2,Lazy Tulip Cafe,"29 Maple Ave, Barrie, Ontario",44.388244003534176,-79.6906592410166,"29 Maple Ave Between Dunlop & Simcoe St, Barrie, Ontario L4N 1R7 Canada",R2,4.6,2.5,"['Cafe', 'Healthy', 'Soups']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d3431230-Reviews-Lazy_Tulip_Cafe-Barrie_Ontario.html
11,11,11,The Keg Steakhouse + Bar,"110 Concert Way, Barrie, Ontario",44.338245,-79.68347800000001,"110 Concert Way Unit 1, Barrie, Ontario L4N 6N5 Canada",R11,4.2,2.5,"['American', 'Steakhouse', 'Canadian']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d16668275-Reviews-The_Keg_Steakhouse_Bar-Barrie_Ontario.html
18,18,19,Stacked Pancake & Breakfast House,"559 Essa Rd, Barrie, Ontario",44.3381019,-79.70975200000001,"559 Essa Rd, Barrie, Ontario L4N 6A9 Canada",R18,4.4,1.0,"['Diner', 'Canadian', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d20203903-Reviews-Stacked_Pancake_Breakfast_House-Barrie_Ontario.html
20,20,21,Casa Mia Restaurant,"88 Dunlop St, Barrie, Ontario",44.3795395,-79.7113748,"88 Dunlop St W, Barrie, Ontario L4N 1A6 Canada",R20,4.1,2.5,"['Italian', 'Mediterranean', 'Greek']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d765676-Reviews-Casa_Mia_Restaurant-Barrie_Ontario.html
21,21,22,AvōcoBar,"561 Bryne Dr, Barrie, Ontario",44.3271933,-79.68787840000002,"561 Bryne Dr Unit B2, Barrie, Ontario L4N 9Y3 Canada",R21,4.5,2.5,"['Fast food', 'Healthy', 'Canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d6641581-Reviews-AvocoBar-Barrie_Ontario.html
22,22,23,Barnstormer Brewing and Distilling Co.,"384 Yonge St, Barrie, Ontario",44.3666815,-79.6632281,"384 Yonge St, Barrie, Ontario L4N 4C8 Canada",R22,4.3,2.5,"['Brew Pub', 'Bar', 'Pizza']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d6783588-Reviews-Barnstormer_Brewing_and_Distilling_Co-Barrie_Ontario.html
24,24,25,Grillicious Gourmet Tap & Grill,"3 Mulcaster St., Barrie, Ontario",44.3885535,-79.68542690000001,"3 Mulcaster St., Barrie, Ontario L4M 3L9 Canada",R24,4.7,2.5,"['Grill', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d15559574-Reviews-Grillicious_Gourmet_Tap_Grill-Barrie_Ontario.html
26,26,28,Pho Mekong,"555 Essa Rd, Barrie, Ontario",44.3384001,-79.7109223,"555 Essa Rd, Barrie, Ontario L4N 6A9 Canada",R26,4.4,1.0,"['Asian', 'Thai', 'Vietnamese']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d5005264-Reviews-Pho_Mekong-Barrie_Ontario.html
27,27,30,The Mexican House,"304 Dunlop Street, Barrie, Ontario",44.3795395,-79.7113748,"304 Dunlop Street West Unit A, Barrie, Ontario L4N 7L2 Canada",R27,4.7,1.0,"['Mexican', 'Latin', 'Spanish']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d14480420-Reviews-The_Mexican_House-Barrie_Ontario.html
29,29,33,TJ's Pizza & Curry in a Hurry,"20 Bell Farm, Barrie, Ontario",44.33411029999999,-79.68604,"20 Bell Farm Road, Barrie, Ontario L4M 6E4 Canada",R29,4.3,2.5,"['Indian', 'International', 'Healthy']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d765644-Reviews-TJ_s_Pizza_Curry_in_a_Hurry-Barrie_Ontario.html
30,30,35,Big Bone BBQ & Wicked Wings,"5-190 Minet's Point, Barrie, Ontario",44.3729217,-79.669167,"5-190 Minet's Point Rd, Barrie, Ontario L4N 8J8 Canada",R30,4.1,2.5,"['American', 'Bar', 'Barbecue']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d2707219-Reviews-Big_Bone_BBQ_Wicked_Wings-Barrie_Ontario.html
32,32,37,Midway Diner,"151 Bradford St, Barrie, Ontario",44.379585799999994,-79.6934296,"151 Bradford St, Barrie, Ontario L4N 3B4 Canada",R32,4.2,1.0,"['American', 'Diner', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d2500997-Reviews-Midway_Diner-Barrie_Ontario.html
