,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,categories,url
0,0,Barrie Centennial Park,"65 Lakeshore Drive, Barrie, Ontario",44.381115846023285,-79.69036375746188,"65 Lakeshore Drive, Barrie, Ontario L4N 2M6 Canada",T0,4.3,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d3222860-Reviews-Barrie_Centennial_Park-Barrie_Ontario.html
1,1,Flying Monkeys Craft Brewery,"107 Dunlop St, Barrie, Ontario",44.3795395,-79.7113748,"107 Dunlop St E, Barrie, Ontario L4M 1A6 Canada",T1,4.4,"['Breweries', 'Breweries']",https://www.tripadvisor.ca/Attraction_Review-g154980-d3350465-Reviews-Flying_Monkeys_Craft_Brewery-Barrie_Ontario.html
2,2,Sunnidale Park Arboretum,"Sunnidale Road &, Barrie, Ontario",44.4012731,-79.7245568,"Sunnidale Road & Cundles Road West, Barrie, Ontario Canada",T2,4.6,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d6674284-Reviews-Sunnidale_Park_Arboretum-Barrie_Ontario.html
3,3,Spirit Catcher Sculpture,"24 Maple Ave, Barrie, Ontario",44.388147576923075,-79.69083767692308,"24 Maple Ave, Barrie, Ontario L4N 6T4 Canada",T3,4.3,"['Points of Interest & Landmarks', 'Points of Interest & Landmarks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d4504641-Reviews-Spirit_Catcher_Sculpture-Barrie_Ontario.html
4,5,Ardagh Bluffs,"Ardagh Road &, Barrie, Ontario",44.3563883,-79.7084034,"Ardagh Road & Mapleview Drive, Barrie, Ontario L4N 5V2 Canada",T4,4.4,"['Nature & Wildlife Areas', 'Nature & Wildlife Areas']",https://www.tripadvisor.ca/Attraction_Review-g154980-d3681269-Reviews-Ardagh_Bluffs-Barrie_Ontario.html
5,6,Splashon Wibit Water Park,"55 Lakeshore Drive, Barrie, Ontario",44.385379650000004,-79.69038405,"55 Lakeshore Drive Centennial Beach, Barrie, Ontario L4M 4T5 Canada",T5,5.0,"['Water Parks', 'Water Parks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d14990436-Reviews-Splashon_Wibit_Water_Park-Barrie_Ontario.html
6,7,Chappell Farms,"617 Penetanguishene Rd, Barrie, Ontario",44.4004421,-79.6492199,"617 Penetanguishene Rd Hwy 11 and County Road 93, Barrie, Ontario L4M 4Y8 Canada",T6,3.8,"['Farms', 'Farms']",https://www.tripadvisor.ca/Attraction_Review-g154980-d2254466-Reviews-Chappell_Farms-Barrie_Ontario.html
7,8,Studio 737,"505 Bryne Dr, Barrie, Ontario",44.33174197395418,-79.689097535866,"505 Bryne Dr, Barrie, Ontario L4N 9P7 Canada",T7,4.9,"['Art Galleries', 'Art Galleries']",https://www.tripadvisor.ca/Attraction_Review-g154980-d16845492-Reviews-Studio_737-Barrie_Ontario.html
8,9,Barrie Antiques Centre,"272 Innisfil St, Barrie, Ontario",44.372639,-79.6940738,"272 Innisfil St, Barrie, Ontario L4N 3G1 Canada",T8,4.7,"['Antique Stores', 'Antique Stores']",https://www.tripadvisor.ca/Attraction_Review-g154980-d6211346-Reviews-Barrie_Antiques_Centre-Barrie_Ontario.html
9,10,Ontario Travel Information Centre - Barrie,"21 Mapleview Dr, Barrie, Ontario",44.3400782,-79.6861197,"21 Mapleview Dr E, Barrie, Ontario L4N 9A9 Canada",T9,4.6,"['Visitor Centres', 'Visitor Centres']",https://www.tripadvisor.ca/Attraction_Review-g154980-d8569487-Reviews-Ontario_Travel_Information_Centre_Barrie-Barrie_Ontario.html
10,12,Johnson's Beach,"2 Johnson Street, Barrie, Ontario",44.3933953,-79.6573918,"2 Johnson Street, Barrie, Ontario L4M 1E1 Canada",T10,3.9,"['Beaches', 'Beaches']",https://www.tripadvisor.ca/Attraction_Review-g154980-d14048660-Reviews-Johnson_s_Beach-Barrie_Ontario.html
11,14,Maclaren Art Centre,"37 Mulcaster St, Barrie, Ontario",44.3902932,-79.6853478,"37 Mulcaster St, Barrie, Ontario L4M 3M2 Canada",T11,4.2,"['Art Galleries', 'Art Galleries']",https://www.tripadvisor.ca/Attraction_Review-g154980-d3440910-Reviews-Maclaren_Art_Centre-Barrie_Ontario.html
12,15,Minet's Point Park,"10 Lismer Boulevard, Barrie, Ontario",44.3758743,-79.667133525,"10 Lismer Boulevard, Barrie, Ontario L4N 4B8 Canada",T12,4.2,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d14048708-Reviews-Minet_s_Point_Park-Barrie_Ontario.html
13,16,In Play Inc,"551 Bryne Dr, Barrie, Ontario",44.32844525553221,-79.68841877890807,"551 Bryne Dr, Barrie, Ontario L4N 9Y3 Canada",T13,3.1,"['Playgrounds', 'Playgrounds']",https://www.tripadvisor.ca/Attraction_Review-g154980-d3368350-Reviews-In_Play_Inc-Barrie_Ontario.html
14,17,Barrie Molson Centre,"555 Bayview Dr, Barrie, Ontario",44.337496349999995,-79.6782465144151,"555 Bayview Dr, Barrie, Ontario L4N 8Y2 Canada",T14,3.8,"['Arenas & Stadiums', 'Arenas & Stadiums']",https://www.tripadvisor.ca/Attraction_Review-g154980-d4057995-Reviews-Barrie_Molson_Centre-Barrie_Ontario.html
15,18,Tyndale Park,"45 Tyndale Rd, Barrie, Ontario",44.37396623814309,-79.64608972197315,"45 Tyndale Rd, Barrie, Ontario L4N 7T1 Canada",T15,4.7,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g154980-d14048711-Reviews-Tyndale_Park-Barrie_Ontario.html
16,19,Heritage Estate Winery & Cidery,"421 Penetanguishene Rd, Barrie, Ontario",44.4004421,-79.6492199,"421 Penetanguishene Rd, Barrie, Ontario L4M 0H1 Canada",T16,4.3,"['Wineries & Vineyards', 'Wineries & Vineyards']",https://www.tripadvisor.ca/Attraction_Review-g154980-d11864452-Reviews-Heritage_Estate_Winery_Cidery-Barrie_Ontario.html
17,21,Theatre by the Bay,"1 Dunlop St, Barrie, Ontario",44.3795395,-79.7113748,"1 Dunlop St E The Mady Centre for the Performing Arts, Barrie, Ontario L4M 1A2 Canada",T17,4.3,"['Theatres', 'Theatres']",https://www.tripadvisor.ca/Attraction_Review-g154980-d7224437-Reviews-Theatre_by_the_Bay-Barrie_Ontario.html
18,22,Smart Moves Play Place,"565 Bryne Dr, Barrie, Ontario",44.3271092,-79.6878419,"565 Bryne Dr Unit C, Barrie, Ontario L4N 9Y3 Canada",T18,4.4,"['Playgrounds', 'Playgrounds']",https://www.tripadvisor.ca/Attraction_Review-g154980-d6665629-Reviews-Smart_Moves_Play_Place-Barrie_Ontario.html
