,restaurant_name,address,review_score,price,categories,price_range,cuisines,diets,meals,features,tags,url,lat,lon,geometry,osmid
0,Symposium Cafe Restaurant & Lounge,"307 Cundles Rd E, Barrie, Ontario L4M 0G9 Canada",3.5,2.5,"['Contemporary', 'Canadian', 'Vegetarian Friendly']","[5, 18]","['contemporary', 'canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['turkey club ', 'hamburger ', 'fish and chips ', 'entrees ', 'bun ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d11862402-Reviews-Symposium_Cafe_Restaurant_Lounge-Barrie_Ontario.html,44.4143803,-79.6805116,POINT (-79.6805116 44.4143803),0
1,Il Buco Ristorante,"31 Dunlop St E #101, Barrie, Ontario L4M 1A2 Canada",4.6,2.5,"['Italian', 'Mediterranean', 'Canadian']",[],[],[],[],[],"['beef carpaccio ', 'pasta ', 'tiramisu ', 'rapini ', 'shrimp ', 'bread ', 'kempenfelt bay ', 'our waiter ', 'lake simcoe ', 'great italian food ', 'view of the lake ', 'service was excellent ', 'special occasion ', 'birthday dinner ', 'recommend this restaurant ', 'downtown barrie ', 'russell ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d1881343-Reviews-Il_Buco_Ristorante-Barrie_Ontario.html,44.38915772,-79.68914941,POINT (-79.68914941 44.38915772),1
2,Urban Dish Grill & Wine Bar,"367 Yonge St, Barrie, Ontario L4N 4C9 Canada",4.5,4,"['Contemporary', 'Wine Bar', 'Vegetarian Friendly']",[],[],[],[],[],"['ribeye ', 'scallops ', 'duck ', 'cheesecake ', 'seafood pasta ', 'beet salad ', 'bread ', 'ice cream ', 'wine list ', 'knowledgeable about the menu ', 'dining experience ', 'by the glass ', 'new chef ', 'fantastic restaurant ', 'great meal ', 'fine dining ', 'birthday dinner ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d1727956-Reviews-Urban_Dish_Grill_Wine_Bar-Barrie_Ontario.html,44.36823608,-79.66509246,POINT (-79.66509246 44.36823608),2
3,Grilled Cheese Social Eatery,"53 Dunlop St E, Barrie, Ontario L4M 1A2 Canada",4.6,1,"['Grill', 'Vegetarian Friendly', 'Vegan Options']","[5, 11]",['grill'],"['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['grilled cheese sandwich ', 'sandwiches ', 'pierogi ', 'kettle chips ', 'spirit catcher ', 'comfort food ', 'downtown barrie ', 'perfect lunch ', 'randy ', 'homemade ', 'vegan ', 'toppings ', 'canada ', 'dressing ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d4848893-Reviews-Grilled_Cheese_Social_Eatery-Barrie_Ontario.html,44.389168,-79.68865126,POINT (-79.68865126 44.389168),3
4,Painters Hall Bistro,"17 Clapperton St, Barrie, Ontario L4M 3E4 Canada",4.5,4,"['Steakhouse', 'Contemporary', 'Canadian']",[],[],[],[],[],"['mussels ', 'pork loin ', 'creme brulee ', 'steak ', 'bread ', 'service was top notch ', 'cooked perfectly ', 'fine dining ', 'romantic dinner ', 'great meal ', 'chef ', 'server ', 'appetizers ', 'lemon ', 'ontario ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d1479268-Reviews-Painters_Hall_Bistro-Barrie_Ontario.html,44.39002076,-79.68989619,POINT (-79.68989619 44.39002076),4
5,Donaleigh's Irish Public House,"28 Dunlop St E, Barrie, Ontario L4M 1A3 Canada",4.3,2.5,"['American', 'Irish', 'Bar']",[],[],[],[],[],"['nachos ', 'shepherds pie ', 'onion soup ', 'cobb salad ', 'steak ', 'spring rolls ', 'great pub ', 'pub food ', 'great patio ', 'never disappoints ', 'food is excellent ', 'beer ', 'gravy ', 'servers ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d2486344-Reviews-Donaleigh_s_Irish_Public_House-Barrie_Ontario.html,44.3894032,-79.6889973,POINT (-79.6889973 44.3894032),5
6,Kenzington Burger Bar,"40 Dunlop St E, Barrie, Ontario L4M 1A3 Canada",4.3,2.5,"['American', 'Bar', 'Canadian']",[],[],[],[],[],"['burger ', 'fries ', 'beef ', 'chicken fingers ', 'side salad ', 'pastry ', 'you gotta eat here ', 'downtown barrie ', 'on tap ', 'kensington ', 'bun ', 'server ', 'patio ', 'sides ', 'wrap ', 'canada ', 'washroom ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d795716-Reviews-Kenzington_Burger_Bar-Barrie_Ontario.html,44.38938957,-79.68858925,POINT (-79.68858925000001 44.38938957),6
7,Danny's Fish and Chips,"411 Huronia Rd, Barrie, Ontario L4N 9B3 Canada",4.4,2.5,"['Seafood', 'Canadian']",[],"['seafood', 'canadian']",[],"['lunch', 'dinner']","['takeout', 'seating', 'parking available', 'highchairs available', 'wheelchair accessible', 'serves alcohol', 'table service']","['halibut ', 'coleslaw ', 'chip restaurant ', 'great fish ', 'waiting line ', 'crispy batter ', 'just the right amount ', 'stroud ', 'portions ', 'takeout ', 'craving ', 'lemon ', 'canada ', 'patrons ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d2530147-Reviews-Danny_s_Fish_and_Chips-Barrie_Ontario.html,44.35252898,-79.66466924,POINT (-79.66466923999999 44.35252898),7
8,The Crazy Fox Bistro,"135 Bayfield St, Barrie, Ontario L4M 3B3 Canada",4.4,4,"['Canadian', 'Vegetarian Friendly', 'Vegan Options']",[],['canadian'],"['vegetarian friendly', 'vegan options', 'gluten free options']","['lunch', 'dinner', 'after-hours']",[],"['raspberry chocolate ', 'crab and lobster ', 'veal scallopini ', 'steak ', 'caesar salad ', 'truffle ', 'duck ', 'wedges ', 'potatoes ', 'the bang bang shrimp ', 'attentive service ', 'an excellent meal ', 'fine dining ', 'dining experience ', 'anniversary dinner ', 'food was amazing ', 'pickerel ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d2530309-Reviews-The_Crazy_Fox_Bistro-Barrie_Ontario.html,44.39306954,-79.69318408,POINT (-79.69318407999999 44.39306954),8
9,Groovy Tuesday'S Bistro,"73 Collier St, Barrie, Ontario L4M 1G7 Canada",4.6,2.5,"['International', 'Contemporary', 'Canadian']","[10, 30]","['canadian', 'international', 'contemporary']","['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['pork schnitzel ', 'risotto ', 'love the open kitchen ', 'every step ', 'amazing restaurant ', 'daily specials ', 'love this restaurant ', 'lunch or dinner ', 'fine dining ', 'great food and service ', 'goofy ', 'chef ', 'mel ', 'plating ', 'desert ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d796889-Reviews-Groovy_Tuesday_S_Bistro-Barrie_Ontario.html,44.39034834,-79.68581865,POINT (-79.68581865 44.39034834),9
10,PIE Wood Fired Pizza Joint,"34 Commerce Park Dr, Barrie, Ontario L4N 8W8 Canada",4,2.5,"['Italian', 'Pizza', 'Canadian']",[],"['italian', 'pizza', 'canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']","['lunch', 'dinner', 'after-hours']",[],"['pie ', 'pizza ', 'salty balls ', 'wings ', 'fries ', 'cakes ', 'thin crust ', 'an appetizer ', 'toppings ', 'tsunami ', 'leftovers ', 'basil ', 'patio ', 'servers ', 'cottage ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d1722463-Reviews-PIE_Wood_Fired_Pizza_Joint-Barrie_Ontario.html,44.32906064,-79.68493418,POINT (-79.68493418 44.32906064),10
11,Mandarin Restaurant,"28 Fairview Rd, Barrie, Ontario L4N 4P3 Canada",4.1,2.5,"['Chinese', 'International', 'Sushi']","[6, 24]","['chinese', 'sushi', 'asian', 'canadian', 'international']","['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['crab legs ', 'sushi ', 'prime rib ', 'cotton candy ', 'wonton soup ', 'roast beef ', 'soups ', 'ice cream ', 'salad ', 'fries ', 'chinese buffet ', 'lots of variety ', 'all you can eat ', 'barrie location ', 'carolyn ', 'seniors ', 'canadian ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d706582-Reviews-Mandarin_Restaurant-Barrie_Ontario.html,44.36140255,-79.69475425,POINT (-79.69475425 44.36140255),11
12,KoHyang House,"33 Bayfield St, Barrie, Ontario L4M 3A6 Canada",4.6,2.5,"['Japanese', 'Sushi', 'Asian']",[],"['asian', 'korean', 'japanese', 'sushi']","['vegetarian friendly', 'vegan options', 'gluten free options']","['lunch', 'dinner', 'after-hours']",[],"['kimchi ', 'sushi ', 'rice ', 'tempura ', 'pork ', 'potatoes ', 'korean restaurant ', 'appetizers ', 'patrons ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d5272041-Reviews-KoHyang_House-Barrie_Ontario.html,44.38972325,-79.69035197,POINT (-79.69035196999999 44.38972325),12
13,147 Italian Cuisine,"147 Dunlop St E, Barrie, Ontario L4M 1A6 Canada",4.6,2.5,"['Italian', 'Canadian', 'Vegetarian Friendly']",[],"['italian', 'canadian']","['vegetarian friendly', 'gluten free options', 'vegan options']","['lunch', 'dinner']",[],"['tiramisu ', 'parmesan bread ', 'caesar salad ', 'seafood linguine ', 'pizza ', 'the penne alla vodka ', 'service was top notch ', 'service was prompt ', 'wine list ', 'the wait staff ', 'appetizers ', 'platter ', 'cream ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d12150972-Reviews-147_Italian_Cuisine-Barrie_Ontario.html,44.3892603,-79.6856483,POINT (-79.6856483 44.3892603),13
14,The Farmhouse Restaurant,"268 Bradford St, Barrie, Ontario L4N 3B8 Canada",3.8,2.5,"['American', 'Canadian', 'Vegetarian Friendly']",[],"['canadian', 'american']","['vegetarian friendly', 'vegan options', 'gluten free options']","['drinks', 'breakfast', 'lunch', 'dinner', 'brunch']",[],"['brunch ', 'trout ', 'mac and cheese ', 'oreo cheesecake ', 'fries ', 'pulled pork ', 'bruschetta ', 'steak ', 'beef tips ', 'eggs benedict ', 'appy hour ', 'two sides ', 'kempenfelt bay ', 'maple syrup ', 'patio ', 'server ', 'waterfront ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d4200955-Reviews-The_Farmhouse_Restaurant-Barrie_Ontario.html,44.3746392,-79.6895059,POINT (-79.6895059 44.3746392),14
